Network email_enron.txt:
33696	20	16	14	13
36692	1	1	0	0
36693	1	0	0	0
36689	1	1	1	1
36692	1	1	0	0
36692	1	1	0	0
36690	1	1	1	1
36690	1	1	1	1
36692	1	1	0	0
36690	1	1	1	1
36690	1	1	1	1

Network email_eu_all.txt:
34203	3	3	2	2
36690	1	1	1	1
36690	1	1	1	1
36691	1	1	1	0
36693	1	0	0	0
36692	1	1	0	0
36689	1	1	1	1
36692	1	1	0	0
36690	1	1	1	1
36688	1	1	1	1
36692	1	1	0	0

Network soc_epinions.txt:
32223	15	9	9	8
36690	1	1	1	1
36692	1	1	0	0
36690	1	1	1	1
36692	1	1	0	0
36690	1	1	1	1
36693	1	0	0	0
36693	1	0	0	0
36690	1	1	1	1
36690	1	1	1	1
36692	1	1	0	0

Network soc_slashdot_0811.txt:
70355	5	5	5	4
36689	1	1	1	1
36688	1	1	1	1
36690	1	1	1	1
36691	1	1	1	0
36692	1	1	0	0
36692	1	1	0	0
36687	1	1	1	1
36691	1	1	1	0
36692	1	1	0	0
36689	1	1	1	1

Network web_google.txt:
434821	968	459	313	211
36690	1	1	1	1
36692	1	1	0	0
36691	1	1	1	0
36689	1	1	1	1
36692	1	1	0	0
36689	1	1	1	1
36689	1	1	1	1
36692	1	1	0	0
36689	1	1	1	1
36693	1	0	0	0
